1,Mumbai,12478447,11978450,Maharashtra
2,Delhi,11007835,9879172,Delhi
3,Bangalore,8425970,4301326,Karnataka
4,Hyderabad,7170545,3637483,Telangana
5,Ahmedabad,5570585,3520085,Gujarat
6,Chennai,4681087,4343645,Tamil Nadu
7,Kolkata,4486679,4572876,West Bengal
8,Surat,4462002,2433835,Gujarat
9,Pune,3115431,2538473,Maharashtra
10,Jaipur,3073350,2322575,Rajasthan
11,Lucknow,2815601,2185927,Uttar Pradesh
12,Kanpur,2767031,2551337,Uttar Pradesh
13,Nagpur,2405421,2052066,Maharashtra
14,Indore,1960631,1474968,Madhya Pradesh
15,Visakhapatnam,1897823,982904,Andhra Pradesh
16,Thane,1818872,1262551,Maharashtra
17,Bhopal,1795648,1437354,Madhya Pradesh
18,Pimpri-Chinchwad,1729359,1012472,Maharashtra
19,Patna,1683200,1366444,Bihar
20,Vadodara,1666703,1306227,Gujarat
21,Ghaziabad,1636068,968256,Uttar Pradesh
22,Ludhiana,1613878,1398467,Punjab
23,Agra,1574542,1275134,Uttar Pradesh
24,Nashik,1486973,1077236,Maharashtra
25,Faridabad,1404653,1055938,Haryana
26,Meerut,1309023,1039405,Uttar Pradesh
27,Rajkot,1286995,967476,Gujarat
28,Kalyan-Dombivali,1246381,1193512,Maharashtra
29,Vasai-Virar,1221233,693350,Maharashtra
30,Varanasi,1201815,1091918,Uttar Pradesh
31,Srinagar,1192792,898440,Jammu and Kashmir
32,Aurangabad,1171330,873311,Maharashtra
33,Dhanbad,1161561,1065327,Jharkhand
34,Amritsar,1132761,966862,Punjab
35,Navi Mumbai,1119477,704002,Maharashtra
36,Allahabad,1117094,975393,Uttar Pradesh
37,Anantnag,1078692,778408,Jammu and Kashmir
38,Ranchi,1073440,847093,Jharkhand
39,Howrah,1072161,1007532,West Bengal
40,Coimbatore,1061447,930882,Tamil Nadu
41,Jabalpur,1054336,932484,Madhya Pradesh
42,Gwalior,1053505,827026,Madhya Pradesh
43,Vijayawada,1034358,851282,Andhra Pradesh
44,Jodhpur,1033918,851051,Rajasthan
45,Madurai,1016885,928869,Tamil Nadu
46,Raipur,1010087,605747,Chhattisgarh
47,Kota,1001365,694316,Rajasthan
48,Guwahati,963429,809895,Assam
49,Chandigarh,960787,808515,Chandigarh
50,Solapur,951118,872478,Maharashtra
